溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202410-10038,玉米,广西壮族自治区,武宣县,109.658734,23.547387,2024-06-15,2024-06-15 [免耕直播] -> 2024-07-07 [苗期中耕] -> 2024-07-29 [喇叭口期追肥] -> 2024-08-20 [大斑病防治] -> 2024-09-11 [人工授粉辅助],2024-10-02 11:18,10214.63,武宣县第3深加工基地,"109.654841,23.599713",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-06 13:18,2024-10-06 21:39,WH-CN-946,现代化圆筒仓,2024-10-07 04:39,2024-11-02 04:39,避光控温控制,LOG-CN-19200834792,重型散粮卡车,"通风良好, 严控高温",2024-11-02 11:39,2024-11-06 08:53,深圳市,南山区,113.93,22.54,2024-11-09 08:53
CN-AG-202410-10039,玉米,吉林省,榆树市,126.581394,44.840656,2024-07-03,2024-07-03 [免耕直播] -> 2024-07-25 [苗期中耕] -> 2024-08-16 [喇叭口期追肥] -> 2024-09-07 [大斑病防治] -> 2024-09-29 [人工授粉辅助],2024-10-20 17:58,25931.28,榆树市第4深加工基地,"126.554564,44.814753",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-24 19:58,2024-10-25 02:27,WH-CN-852,现代化圆筒仓,2024-10-25 10:27,2024-11-29 10:27,避光控温控制,LOG-CN-92988739271,重型散粮卡车,"通风良好, 严控高温",2024-11-30 00:27,2024-12-03 15:55,成都市,新都区,104.15,30.82,2024-12-04 15:55
CN-AG-202405-10040,油菜籽,甘肃省,民乐县,100.825877,38.414134,2023-10-16,2023-10-16 [育苗移栽] -> 2023-12-07 [越冬防冻肥] -> 2024-01-28 [薹期水肥调节] -> 2024-03-20 [菌核病无人机防治],2024-05-08 17:37,33498.57,民乐县第1深加工基地,"100.810715,38.432671",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-11 23:37,2024-05-12 02:27,WH-CN-581,恒温罐区,2024-05-12 08:27,2024-06-21 08:27,避光控温控制,LOG-CN-67329056211,罐式车,"避光, 防氧化",2024-06-21 16:27,2024-06-25 18:54,西安市,未央区,108.94,34.29,2024-06-28 18:54
CN-AG-202408-10041,花生,山东省,平度市,119.990236,36.730835,2024-04-29,2024-04-29 [清棵蹲苗] -> 2024-05-23 [培土迎葑] -> 2024-06-16 [钙镁肥补充] -> 2024-07-10 [下针期控旺] -> 2024-08-03 [地下虫害防治],2024-08-28 10:21,9057.26,平度市第4深加工基地,"119.94373,36.776416",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-01 14:21,2024-09-01 22:30,WH-CN-985,避光库房,2024-09-02 08:30,2024-10-17 08:30,避光控温控制,LOG-CN-14243939720,厢式货车,避光防潮,2024-10-17 15:30,2024-10-20 07:46,北京市,海淀区,116.3,39.96,2024-10-22 07:46
CN-AG-202410-10042,玉米,广西壮族自治区,宾阳县,108.820907,23.154893,2024-06-14,2024-06-14 [免耕直播] -> 2024-07-06 [苗期中耕] -> 2024-07-28 [喇叭口期追肥] -> 2024-08-19 [大斑病防治] -> 2024-09-10 [人工授粉辅助],2024-10-02 11:33,21964.91,宾阳县第1深加工基地,"108.800332,23.213551",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-06 16:33,2024-10-07 01:32,WH-CN-745,现代化圆筒仓,2024-10-07 05:32,2024-10-30 05:32,避光控温控制,LOG-CN-49334934709,重型散粮卡车,"通风良好, 严控高温",2024-10-30 13:32,2024-11-02 02:00,成都市,新都区,104.15,30.82,2024-11-05 02:00
CN-AG-202405-10043,油菜籽,湖北省,钟祥市,112.547179,31.171451,2023-10-10,2023-10-10 [育苗移栽] -> 2023-12-01 [越冬防冻肥] -> 2024-01-22 [薹期水肥调节] -> 2024-03-14 [菌核病无人机防治],2024-05-03 11:53,39308.56,钟祥市第2深加工基地,"112.573487,31.172903",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-07 13:53,2024-05-07 21:54,WH-CN-567,恒温罐区,2024-05-08 03:54,2024-06-18 03:54,避光控温控制,LOG-CN-29547534656,罐式车,"避光, 防氧化",2024-06-18 13:54,2024-06-21 19:47,成都市,新都区,104.15,30.82,2024-06-23 19:47
CN-AG-202406-10044,小麦,河北省,藁城区,114.826408,38.052913,2023-11-10,2023-11-10 [深耕整地] -> 2023-12-18 [秋播种子处理] -> 2024-01-25 [越冬水灌溉] -> 2024-03-03 [拔节期追肥] -> 2024-04-10 [条锈病防治] -> 2024-05-18 [干热风防护],2024-06-28 09:17,20629.16,藁城区第4深加工基地,"114.83275,38.038735",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-07-01 15:17,2024-07-01 20:03,WH-CN-453,钢板筒仓,2024-07-02 00:03,2024-07-30 00:03,准低温低氧控制,LOG-CN-84442262762,全封闭货车,"干燥, 禁止异味混载",2024-07-30 15:03,2024-08-04 03:34,成都市,新都区,104.15,30.82,2024-08-05 03:34
CN-AG-202410-10045,水稻,湖北省,枣阳市,112.703617,32.110928,2024-05-26,2024-05-26 [播种育秧] -> 2024-06-18 [田间底肥] -> 2024-07-11 [插秧作业] -> 2024-08-03 [分蘖期灌溉] -> 2024-08-26 [除草控虫] -> 2024-09-18 [晒田补肥],2024-10-11 11:44,18512.76,枣阳市第2深加工基地,"112.757547,32.138494",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-15 14:44,2024-10-16 00:32,WH-CN-607,平房仓(准低温),2024-10-16 10:32,2024-10-28 10:32,准低温低氧控制,LOG-CN-18438856718,散粮车,"防潮, 湿度<14%",2024-10-28 23:32,2024-11-02 18:30,武汉市,东西湖区,114.13,30.62,2024-11-04 18:30
CN-AG-202409-10046,玉米,辽宁省,黑山县,122.139198,41.660953,2024-06-07,2024-06-07 [免耕直播] -> 2024-06-29 [苗期中耕] -> 2024-07-21 [喇叭口期追肥] -> 2024-08-12 [大斑病防治] -> 2024-09-03 [人工授粉辅助],2024-09-28 15:06,26814.08,黑山县第4深加工基地,"122.121104,41.696344",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-02 17:06,2024-10-03 01:45,WH-CN-765,现代化圆筒仓,2024-10-03 07:45,2024-11-08 07:45,避光控温控制,LOG-CN-63831497941,重型散粮卡车,"通风良好, 严控高温",2024-11-08 20:45,2024-11-14 01:01,广州市,天河区,113.33,23.13,2024-11-16 01:01
CN-AG-202408-10047,花生,河南省,唐河县,112.799022,32.683558,2024-04-17,2024-04-17 [清棵蹲苗] -> 2024-05-11 [培土迎葑] -> 2024-06-04 [钙镁肥补充] -> 2024-06-28 [下针期控旺] -> 2024-07-22 [地下虫害防治],2024-08-20 09:15,15481.31,唐河县第1深加工基地,"112.837944,32.671862",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-23 12:15,2024-08-23 21:07,WH-CN-147,避光库房,2024-08-24 02:07,2024-09-30 02:07,避光控温控制,LOG-CN-48895735906,厢式货车,避光防潮,2024-09-30 09:07,2024-10-03 17:17,上海市,宝山区,121.48,31.4,2024-10-06 17:17
CN-AG-202409-10048,大豆,山东省,莒南县,118.845972,35.21805,2024-05-02,2024-05-02 [拌种包衣] -> 2024-05-27 [等距点播] -> 2024-06-21 [结荚期根外追肥] -> 2024-07-16 [食心虫绿色防控] -> 2024-08-10 [除草中耕],2024-09-05 11:33,10009.12,莒南县第4深加工基地,"118.826984,35.166781",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-07 14:33,2024-09-07 18:32,WH-CN-753,不锈钢储油罐区,2024-09-07 23:32,2024-10-26 23:32,准低温低氧控制,LOG-CN-71220366517,罐式车,"避光, 控温25℃下",2024-10-27 08:32,2024-10-31 00:30,南京市,南京浦口区,118.62,32.05,2024-11-03 00:30
CN-AG-202405-10049,油菜籽,甘肃省,民乐县,100.857653,38.457115,2023-10-17,2023-10-17 [育苗移栽] -> 2023-12-08 [越冬防冻肥] -> 2024-01-29 [薹期水肥调节] -> 2024-03-21 [菌核病无人机防治],2024-05-10 16:10,11972.59,民乐县第4深加工基地,"100.815598,38.437742",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-14 20:10,2024-05-15 03:40,WH-CN-973,恒温罐区,2024-05-15 11:40,2024-07-04 11:40,避光控温控制,LOG-CN-24960264709,罐式车,"避光, 防氧化",2024-07-04 21:40,2024-07-08 08:34,南京市,南京浦口区,118.62,32.05,2024-07-10 08:34
CN-AG-202406-10050,小麦,甘肃省,永昌县,101.920097,38.257044,2023-11-03,2023-11-03 [深耕整地] -> 2023-12-11 [秋播种子处理] -> 2024-01-18 [越冬水灌溉] -> 2024-02-25 [拔节期追肥] -> 2024-04-03 [条锈病防治] -> 2024-05-11 [干热风防护],2024-06-19 12:44,32150.93,永昌县第2深加工基地,"101.977971,38.233233",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-20 17:44,2024-06-20 22:34,WH-CN-721,钢板筒仓,2024-06-21 02:34,2024-08-06 02:34,准低温低氧控制,LOG-CN-60688911785,全封闭货车,"干燥, 禁止异味混载",2024-08-06 15:34,2024-08-12 02:31,北京市,丰台区,116.28,39.85,2024-08-14 02:31
CN-AG-202410-10051,玉米,内蒙古自治区,突泉县,121.511104,46.342771,2024-07-08,2024-07-08 [免耕直播] -> 2024-07-30 [苗期中耕] -> 2024-08-21 [喇叭口期追肥] -> 2024-09-12 [大斑病防治] -> 2024-10-04 [人工授粉辅助],2024-10-22 10:40,16435.17,突泉县第4深加工基地,"121.57327,46.322029",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-23 14:40,2024-10-23 23:53,WH-CN-279,现代化圆筒仓,2024-10-24 10:53,2024-11-05 10:53,避光控温控制,LOG-CN-28042276277,重型散粮卡车,"通风良好, 严控高温",2024-11-05 18:53,2024-11-07 06:51,武汉市,东西湖区,114.13,30.62,2024-11-09 06:51
CN-AG-202410-10052,水稻,湖北省,枣阳市,112.709297,32.070607,2024-06-07,2024-06-07 [播种育秧] -> 2024-06-30 [田间底肥] -> 2024-07-23 [插秧作业] -> 2024-08-15 [分蘖期灌溉] -> 2024-09-07 [除草控虫] -> 2024-09-30 [晒田补肥],2024-10-27 10:16,39297.98,枣阳市第5深加工基地,"112.753838,32.130975",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-30 14:16,2024-10-30 23:37,WH-CN-474,平房仓(准低温),2024-10-31 04:37,2024-12-09 04:37,准低温低氧控制,LOG-CN-11694684834,散粮车,"防潮, 湿度<14%",2024-12-09 13:37,2024-12-14 04:23,上海市,浦东新区,121.54,31.22,2024-12-17 04:23
CN-AG-202405-10053,油菜籽,甘肃省,民乐县,100.776912,38.448235,2023-10-14,2023-10-14 [育苗移栽] -> 2023-12-05 [越冬防冻肥] -> 2024-01-26 [薹期水肥调节] -> 2024-03-18 [菌核病无人机防治],2024-05-12 12:37,12747.85,民乐县第1深加工基地,"100.804745,38.434244",多级筛选->炒籽->螺旋压榨->精制过滤,2024-05-15 14:37,2024-05-15 22:52,WH-CN-750,恒温罐区,2024-05-16 05:52,2024-06-25 05:52,避光控温控制,LOG-CN-73667973944,罐式车,"避光, 防氧化",2024-06-25 19:52,2024-06-28 13:50,北京市,丰台区,116.28,39.85,2024-07-01 13:50
CN-AG-202410-10054,玉米,广西壮族自治区,武宣县,109.689579,23.569048,2024-06-21,2024-06-21 [免耕直播] -> 2024-07-13 [苗期中耕] -> 2024-08-04 [喇叭口期追肥] -> 2024-08-26 [大斑病防治] -> 2024-09-17 [人工授粉辅助],2024-10-04 10:02,29376.94,武宣县第5深加工基地,"109.666984,23.592993",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-07 15:02,2024-10-07 18:31,WH-CN-529,现代化圆筒仓,2024-10-07 23:31,2024-11-01 23:31,避光控温控制,LOG-CN-30300588783,重型散粮卡车,"通风良好, 严控高温",2024-11-02 12:31,2024-11-05 12:13,广州市,白云区,113.27,23.15,2024-11-08 12:13
CN-AG-202409-10055,花生,河北省,大名县,115.158197,36.298914,2024-05-28,2024-05-28 [清棵蹲苗] -> 2024-06-21 [培土迎葑] -> 2024-07-15 [钙镁肥补充] -> 2024-08-08 [下针期控旺] -> 2024-09-01 [地下虫害防治],2024-09-20 14:17,17553.58,大名县第4深加工基地,"115.147354,36.271873",剥壳分选->烘炒->压榨提取->物理精炼,2024-09-23 17:17,2024-09-23 23:34,WH-CN-382,避光库房,2024-09-24 10:34,2024-10-19 10:34,避光控温控制,LOG-CN-20542930840,厢式货车,避光防潮,2024-10-19 21:34,2024-10-23 19:31,武汉市,洪山区,114.34,30.5,2024-10-26 19:31
CN-AG-202409-10056,水稻,广西壮族自治区,宾阳县,108.779279,23.181824,2024-04-18,2024-04-18 [播种育秧] -> 2024-05-11 [田间底肥] -> 2024-06-03 [插秧作业] -> 2024-06-26 [分蘖期灌溉] -> 2024-07-19 [除草控虫] -> 2024-08-11 [晒田补肥],2024-09-02 13:15,5099.24,宾阳县第2深加工基地,"108.807862,23.21946",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-04 15:15,2024-09-05 00:49,WH-CN-233,平房仓(准低温),2024-09-05 12:49,2024-09-28 12:49,准低温低氧控制,LOG-CN-46679946108,散粮车,"防潮, 湿度<14%",2024-09-28 23:49,2024-10-04 02:58,深圳市,福田区,114.05,22.54,2024-10-07 02:58
CN-AG-202406-10057,小麦,新疆维吾尔自治区,奇台县,89.605737,44.067046,2023-10-21,2023-10-21 [深耕整地] -> 2023-11-28 [秋播种子处理] -> 2024-01-05 [越冬水灌溉] -> 2024-02-12 [拔节期追肥] -> 2024-03-21 [条锈病防治] -> 2024-04-28 [干热风防护],2024-06-05 08:22,7224.53,奇台县第4深加工基地,"89.590053,44.025896",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-08 10:22,2024-06-08 14:21,WH-CN-896,钢板筒仓,2024-06-08 22:21,2024-06-21 22:21,准低温低氧控制,LOG-CN-80274422288,全封闭货车,"干燥, 禁止异味混载",2024-06-22 10:21,2024-06-26 05:28,广州市,番禺区,113.38,22.93,2024-06-29 05:28
CN-AG-202410-10058,水稻,湖南省,南县,112.399102,29.369228,2024-06-04,2024-06-04 [播种育秧] -> 2024-06-27 [田间底肥] -> 2024-07-20 [插秧作业] -> 2024-08-12 [分蘖期灌溉] -> 2024-09-04 [除草控虫] -> 2024-09-27 [晒田补肥],2024-10-17 11:39,29934.05,南县第4深加工基地,"112.404449,29.353905",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-20 16:39,2024-10-21 00:38,WH-CN-175,平房仓(准低温),2024-10-21 04:38,2024-11-03 04:38,准低温低氧控制,LOG-CN-22452255945,散粮车,"防潮, 湿度<14%",2024-11-03 16:38,2024-11-08 07:44,西安市,未央区,108.94,34.29,2024-11-10 07:44
CN-AG-202406-10059,小麦,河南省,唐河县,112.772918,32.653693,2023-10-14,2023-10-14 [深耕整地] -> 2023-11-21 [秋播种子处理] -> 2023-12-29 [越冬水灌溉] -> 2024-02-05 [拔节期追肥] -> 2024-03-14 [条锈病防治] -> 2024-04-21 [干热风防护],2024-06-05 12:39,9004.49,唐河县第5深加工基地,"112.823542,32.682909",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-08 17:39,2024-06-09 01:14,WH-CN-838,钢板筒仓,2024-06-09 13:14,2024-07-07 13:14,准低温低氧控制,LOG-CN-39487064990,全封闭货车,"干燥, 禁止异味混载",2024-07-08 04:14,2024-07-11 11:20,西安市,长安区,108.87,34.15,2024-07-14 11:20
CN-AG-202406-10060,小麦,江苏省,兴化市,119.904471,32.982855,2023-10-26,2023-10-26 [深耕整地] -> 2023-12-03 [秋播种子处理] -> 2024-01-10 [越冬水灌溉] -> 2024-02-17 [拔节期追肥] -> 2024-03-26 [条锈病防治] -> 2024-05-03 [干热风防护],2024-06-14 13:52,37304.48,兴化市第1深加工基地,"119.847403,32.938297",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-18 18:52,2024-06-19 03:35,WH-CN-193,钢板筒仓,2024-06-19 08:35,2024-07-19 08:35,准低温低氧控制,LOG-CN-22162367658,全封闭货车,"干燥, 禁止异味混载",2024-07-19 18:35,2024-07-22 17:44,南京市,江宁区,118.83,31.95,2024-07-25 17:44
CN-AG-202406-10061,大麦,吉林省,前郭县,124.861398,45.051855,2024-03-19,2024-03-19 [翻耕播种] -> 2024-04-13 [分蘖期施氮] -> 2024-05-08 [化学除草] -> 2024-06-02 [灌浆期监控],2024-06-24 13:51,35383.23,前郭县第1深加工基地,"124.819333,45.108564",杂质清理->脱壳处理->分级磨皮->包装,2024-06-25 19:51,2024-06-26 03:08,WH-CN-394,平房仓,2024-06-26 15:08,2024-07-27 15:08,避光控温控制,LOG-CN-51233447380,散装车,防霉通风,2024-07-28 02:08,2024-08-01 15:56,上海市,闵行区,121.38,31.11,2024-08-03 15:56
CN-AG-202408-10062,花生,山东省,莒南县,118.872361,35.225634,2024-04-11,2024-04-11 [清棵蹲苗] -> 2024-05-05 [培土迎葑] -> 2024-05-29 [钙镁肥补充] -> 2024-06-22 [下针期控旺] -> 2024-07-16 [地下虫害防治],2024-08-05 15:14,26475.06,莒南县第5深加工基地,"118.827702,35.165889",剥壳分选->烘炒->压榨提取->物理精炼,2024-08-08 21:14,2024-08-09 02:52,WH-CN-126,避光库房,2024-08-09 07:52,2024-09-05 07:52,避光控温控制,LOG-CN-47338174438,厢式货车,避光防潮,2024-09-05 21:52,2024-09-11 00:44,深圳市,南山区,113.93,22.54,2024-09-14 00:44
CN-AG-202410-10063,玉米,黑龙江省,富锦市,132.008031,47.292136,2024-07-05,2024-07-05 [免耕直播] -> 2024-07-27 [苗期中耕] -> 2024-08-18 [喇叭口期追肥] -> 2024-09-09 [大斑病防治] -> 2024-10-01 [人工授粉辅助],2024-10-23 12:58,8211.52,富锦市第5深加工基地,"132.031136,47.24339",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-26 14:58,2024-10-26 19:00,WH-CN-320,现代化圆筒仓,2024-10-27 01:00,2024-12-12 01:00,避光控温控制,LOG-CN-67450317515,重型散粮卡车,"通风良好, 严控高温",2024-12-12 09:00,2024-12-17 07:40,南京市,玄武区,118.79,32.06,2024-12-18 07:40
CN-AG-202409-10064,水稻,江苏省,射阳县,120.273524,33.802339,2024-04-25,2024-04-25 [播种育秧] -> 2024-05-18 [田间底肥] -> 2024-06-10 [插秧作业] -> 2024-07-03 [分蘖期灌溉] -> 2024-07-26 [除草控虫] -> 2024-08-18 [晒田补肥],2024-09-12 12:46,19840.52,射阳县第5深加工基地,"120.241944,33.751401",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-09-13 14:46,2024-09-13 18:35,WH-CN-552,平房仓(准低温),2024-09-14 00:35,2024-11-02 00:35,准低温低氧控制,LOG-CN-46138643987,散粮车,"防潮, 湿度<14%",2024-11-02 07:35,2024-11-04 18:03,北京市,丰台区,116.28,39.85,2024-11-07 18:03
CN-AG-202406-10065,小麦,内蒙古自治区,五原县,108.318806,41.113801,2023-10-23,2023-10-23 [深耕整地] -> 2023-11-30 [秋播种子处理] -> 2024-01-07 [越冬水灌溉] -> 2024-02-14 [拔节期追肥] -> 2024-03-23 [条锈病防治] -> 2024-04-30 [干热风防护],2024-06-14 09:18,15549.68,五原县第2深加工基地,"108.260367,41.092802",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-18 15:18,2024-06-18 23:29,WH-CN-885,钢板筒仓,2024-06-19 07:29,2024-07-01 07:29,准低温低氧控制,LOG-CN-49752153596,全封闭货车,"干燥, 禁止异味混载",2024-07-01 22:29,2024-07-03 05:29,深圳市,南山区,113.93,22.54,2024-07-04 05:29
CN-AG-202406-10066,小麦,河南省,唐河县,112.858892,32.725285,2023-11-02,2023-11-02 [深耕整地] -> 2023-12-10 [秋播种子处理] -> 2024-01-17 [越冬水灌溉] -> 2024-02-24 [拔节期追肥] -> 2024-04-02 [条锈病防治] -> 2024-05-10 [干热风防护],2024-06-16 14:11,5655.95,唐河县第1深加工基地,"112.83405,32.68394",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-20 20:11,2024-06-21 04:41,WH-CN-982,钢板筒仓,2024-06-21 11:41,2024-08-02 11:41,准低温低氧控制,LOG-CN-88653996486,全封闭货车,"干燥, 禁止异味混载",2024-08-02 23:41,2024-08-07 21:43,武汉市,洪山区,114.34,30.5,2024-08-09 21:43
CN-AG-202406-10067,小麦,江苏省,兴化市,119.825231,32.913139,2023-10-29,2023-10-29 [深耕整地] -> 2023-12-06 [秋播种子处理] -> 2024-01-13 [越冬水灌溉] -> 2024-02-20 [拔节期追肥] -> 2024-03-29 [条锈病防治] -> 2024-05-06 [干热风防护],2024-06-10 09:25,19015.74,兴化市第1深加工基地,"119.856202,32.936187",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-13 12:25,2024-06-13 21:45,WH-CN-505,钢板筒仓,2024-06-14 08:45,2024-07-17 08:45,准低温低氧控制,LOG-CN-52393579559,全封闭货车,"干燥, 禁止异味混载",2024-07-17 15:45,2024-07-19 23:12,上海市,闵行区,121.38,31.11,2024-07-22 23:12
CN-AG-202406-10068,小麦,山东省,平度市,119.999589,36.824049,2023-11-05,2023-11-05 [深耕整地] -> 2023-12-13 [秋播种子处理] -> 2024-01-20 [越冬水灌溉] -> 2024-02-27 [拔节期追肥] -> 2024-04-05 [条锈病防治] -> 2024-05-13 [干热风防护],2024-06-25 10:04,13958.89,平度市第2深加工基地,"119.95003,36.780227",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-26 16:04,2024-06-26 22:55,WH-CN-716,钢板筒仓,2024-06-27 05:55,2024-07-29 05:55,准低温低氧控制,LOG-CN-99159880563,全封闭货车,"干燥, 禁止异味混载",2024-07-29 13:55,2024-07-31 20:01,武汉市,东西湖区,114.13,30.62,2024-08-01 20:01
CN-AG-202410-10069,玉米,吉林省,公主岭市,124.837996,43.555795,2024-06-23,2024-06-23 [免耕直播] -> 2024-07-15 [苗期中耕] -> 2024-08-06 [喇叭口期追肥] -> 2024-08-28 [大斑病防治] -> 2024-09-19 [人工授粉辅助],2024-10-15 17:48,27098.48,公主岭市第3深加工基地,"124.825916,43.524039",物理清理->脱粒烘干->破碎加工->筛理分级,2024-10-19 23:48,2024-10-20 07:47,WH-CN-705,现代化圆筒仓,2024-10-20 16:47,2024-12-09 16:47,避光控温控制,LOG-CN-57485897677,重型散粮卡车,"通风良好, 严控高温",2024-12-10 05:47,2024-12-11 14:17,武汉市,洪山区,114.34,30.5,2024-12-13 14:17
